Symptom 1,Symptom 2,Symptom 3,Medicine
sore throat,nausea,respiratory infection,"Azithromycin, Aciloc"
itchy eyes,stomach acid,,"Cetirizine, Aciloc"
skin rash,fungal infection,muscle pain,"Cetirizine, Paracetamol"
bacterial infection,sneezing,,"Cetirizine, Azithromycin"
fungal infection,skin rash,,Cetirizine
stomach acid,diarrhea,,"Aciloc, Lomotil"
sneezing,,,Cetirizine
sneezing,joint pain,pain,"Cetirizine, Diclofenac"
stomach acid,,,Aciloc
muscle pain,stomach acid,inflammation,"Aciloc, Paracetamol, Diclofenac"
fever,,,Paracetamol
sneezing,heartburn,,"Cetirizine, Aciloc"
heartburn,respiratory infection,,"Azithromycin, Aciloc"
diarrhea,pain,joint pain,"Lomotil, Diclofenac"
fever,diarrhea,,"Lomotil, Paracetamol"
fever,stomach acid,stomach cramps,"Aciloc, Lomotil, Paracetamol"
heartburn,sneezing,runny nose,"Cetirizine, Aciloc"
headache,,,Paracetamol
bacterial infection,pain,itchy eyes,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,cough,inflammation,"Cetirizine, Azithromycin, Diclofenac"
stomach cramps,itchy eyes,heartburn,"Cetirizine, Aciloc, Lomotil"
heartburn,bacterial infection,,"Azithromycin, Aciloc"
stomach cramps,,,Lomotil
bacterial infection,,,Azithromycin
stomach cramps,joint pain,,"Lomotil, Diclofenac"
cough,inflammation,,"Azithromycin, Diclofenac"
diarrhea,,,Lomotil
bacterial infection,inflammation,,"Azithromycin, Diclofenac"
fever,headache,,Paracetamol
fever,pain,,"Paracetamol, Diclofenac"
itchy eyes,fungal infection,fever,"Cetirizine, Paracetamol"
pain,inflammation,,Diclofenac
inflammation,headache,,"Paracetamol, Diclofenac"
stomach acid,bacterial infection,,"Azithromycin, Aciloc"
inflammation,nausea,muscle pain,"Aciloc, Paracetamol, Diclofenac"
bacterial infection,pain,sneezing,"Cetirizine, Azithromycin, Diclofenac"
inflammation,joint pain,,Diclofenac
joint pain,fever,fungal infection,"Cetirizine, Paracetamol, Diclofenac"
heartburn,,,Aciloc
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
heartburn,itchy eyes,,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
stomach acid,,,Aciloc
runny nose,heartburn,joint pain,"Cetirizine, Aciloc, Diclofenac"
nausea,heartburn,headache,"Aciloc, Paracetamol"
sore throat,cough,,Azithromycin
stomach acid,runny nose,,"Cetirizine, Aciloc"
stomach acid,,,Aciloc
stomach acid,,,Aciloc
joint pain,sore throat,stomach acid,"Azithromycin, Aciloc, Diclofenac"
itchy eyes,inflammation,,"Cetirizine, Diclofenac"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
pain,skin rash,,"Cetirizine, Diclofenac"
joint pain,,,Diclofenac
stomach acid,pain,sore throat,"Azithromycin, Aciloc, Diclofenac"
respiratory infection,sore throat,sneezing,"Cetirizine, Azithromycin"
pain,,,Diclofenac
runny nose,skin rash,,Cetirizine
bacterial infection,pain,,"Azithromycin, Diclofenac"
bacterial infection,,,Azithromycin
itchy eyes,,,Cetirizine
itchy eyes,,,Cetirizine
nausea,muscle pain,joint pain,"Aciloc, Paracetamol, Diclofenac"
cough,fever,respiratory infection,"Azithromycin, Paracetamol"
nausea,muscle pain,,"Aciloc, Paracetamol"
joint pain,,,Diclofenac
bacterial infection,fever,nausea,"Azithromycin, Paracetamol, Aciloc"
fungal infection,sneezing,inflammation,"Cetirizine, Diclofenac"
diarrhea,nausea,,"Aciloc, Lomotil"
heartburn,joint pain,,"Aciloc, Diclofenac"
stomach acid,itchy eyes,skin rash,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
sneezing,stomach acid,,"Cetirizine, Aciloc"
cough,,,Azithromycin
pain,,,Diclofenac
bacterial infection,,,Azithromycin
diarrhea,muscle pain,fever,"Lomotil, Paracetamol"
runny nose,fever,,"Cetirizine, Paracetamol"
sneezing,inflammation,heartburn,"Cetirizine, Aciloc, Diclofenac"
cough,,,Azithromycin
inflammation,respiratory infection,,"Azithromycin, Diclofenac"
joint pain,runny nose,,"Cetirizine, Diclofenac"
respiratory infection,joint pain,fever,"Azithromycin, Paracetamol, Diclofenac"
pain,diarrhea,,"Lomotil, Diclofenac"
nausea,pain,joint pain,"Aciloc, Diclofenac"
sneezing,respiratory infection,cough,"Cetirizine, Azithromycin"
headache,joint pain,runny nose,"Cetirizine, Paracetamol, Diclofenac"
fever,,,Paracetamol
sore throat,,,Azithromycin
diarrhea,itchy eyes,,"Cetirizine, Lomotil"
runny nose,,,Cetirizine
joint pain,stomach cramps,inflammation,"Lomotil, Diclofenac"
sneezing,fever,,"Cetirizine, Paracetamol"
nausea,,,Aciloc
fever,headache,respiratory infection,"Azithromycin, Paracetamol"
joint pain,sneezing,fungal infection,"Cetirizine, Diclofenac"
sneezing,stomach acid,headache,"Cetirizine, Aciloc, Paracetamol"
pain,,,Diclofenac
stomach acid,,,Aciloc
headache,,,Paracetamol
joint pain,fungal infection,,"Cetirizine, Diclofenac"
runny nose,,,Cetirizine
respiratory infection,muscle pain,nausea,"Azithromycin, Paracetamol, Aciloc"
muscle pain,,,Paracetamol
skin rash,,,Cetirizine
bacterial infection,headache,,"Azithromycin, Paracetamol"
itchy eyes,nausea,,"Cetirizine, Aciloc"
bacterial infection,heartburn,,"Azithromycin, Aciloc"
muscle pain,sneezing,fever,"Cetirizine, Paracetamol"
nausea,skin rash,,"Cetirizine, Aciloc"
itchy eyes,headache,fever,"Cetirizine, Paracetamol"
cough,diarrhea,sore throat,"Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
headache,,,Paracetamol
bacterial infection,heartburn,fever,"Azithromycin, Aciloc, Paracetamol"
fungal infection,,,Cetirizine
muscle pain,,,Paracetamol
pain,,,Diclofenac
cough,joint pain,,"Azithromycin, Diclofenac"
diarrhea,respiratory infection,,"Azithromycin, Lomotil"
itchy eyes,joint pain,runny nose,"Cetirizine, Diclofenac"
heartburn,,,Aciloc
bacterial infection,pain,,"Azithromycin, Diclofenac"
muscle pain,itchy eyes,respiratory infection,"Cetirizine, Azithromycin, Paracetamol"
runny nose,stomach cramps,sneezing,"Cetirizine, Lomotil"
sneezing,diarrhea,respiratory infection,"Cetirizine, Azithromycin, Lomotil"
fever,skin rash,inflammation,"Cetirizine, Paracetamol, Diclofenac"
nausea,diarrhea,,"Aciloc, Lomotil"
stomach cramps,,,Lomotil
heartburn,runny nose,stomach acid,"Cetirizine, Aciloc"
fungal infection,headache,,"Cetirizine, Paracetamol"
pain,,,Diclofenac
sneezing,,,Cetirizine
bacterial infection,stomach cramps,,"Azithromycin, Lomotil"
runny nose,,,Cetirizine
heartburn,,,Aciloc
respiratory infection,bacterial infection,muscle pain,"Azithromycin, Paracetamol"
joint pain,itchy eyes,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
respiratory infection,,,Azithromycin
pain,fungal infection,,"Cetirizine, Diclofenac"
stomach acid,sore throat,diarrhea,"Azithromycin, Aciloc, Lomotil"
stomach cramps,runny nose,sneezing,"Cetirizine, Lomotil"
sneezing,stomach cramps,,"Cetirizine, Lomotil"
bacterial infection,fungal infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
sore throat,muscle pain,,"Azithromycin, Paracetamol"
fever,,,Paracetamol
sneezing,heartburn,,"Cetirizine, Aciloc"
fungal infection,,,Cetirizine
cough,joint pain,sneezing,"Cetirizine, Azithromycin, Diclofenac"
nausea,skin rash,,"Cetirizine, Aciloc"
joint pain,,,Diclofenac
itchy eyes,bacterial infection,,"Cetirizine, Azithromycin"
skin rash,muscle pain,respiratory infection,"Cetirizine, Azithromycin, Paracetamol"
skin rash,headache,,"Cetirizine, Paracetamol"
stomach cramps,nausea,diarrhea,"Aciloc, Lomotil"
nausea,sneezing,,"Cetirizine, Aciloc"
fungal infection,stomach acid,,"Cetirizine, Aciloc"
inflammation,,,Diclofenac
diarrhea,headache,sneezing,"Cetirizine, Lomotil, Paracetamol"
fever,sore throat,heartburn,"Azithromycin, Paracetamol, Aciloc"
fungal infection,stomach cramps,,"Cetirizine, Lomotil"
cough,diarrhea,,"Azithromycin, Lomotil"
heartburn,,,Aciloc
fungal infection,,,Cetirizine
muscle pain,itchy eyes,,"Cetirizine, Paracetamol"
diarrhea,itchy eyes,runny nose,"Cetirizine, Lomotil"
inflammation,cough,stomach cramps,"Azithromycin, Lomotil, Diclofenac"
cough,diarrhea,,"Azithromycin, Lomotil"
inflammation,pain,,Diclofenac
stomach acid,,,Aciloc
sneezing,,,Cetirizine
heartburn,,,Aciloc
sore throat,,,Azithromycin
cough,,,Azithromycin
fever,stomach acid,cough,"Azithromycin, Aciloc, Paracetamol"
fungal infection,inflammation,runny nose,"Cetirizine, Diclofenac"
sneezing,skin rash,runny nose,Cetirizine
sore throat,itchy eyes,,"Cetirizine, Azithromycin"
fungal infection,cough,,"Cetirizine, Azithromycin"
respiratory infection,skin rash,heartburn,"Cetirizine, Azithromycin, Aciloc"
diarrhea,runny nose,,"Cetirizine, Lomotil"
stomach cramps,cough,,"Azithromycin, Lomotil"
cough,,,Azithromycin
sneezing,bacterial infection,,"Cetirizine, Azithromycin"
skin rash,fever,,"Cetirizine, Paracetamol"
muscle pain,cough,,"Azithromycin, Paracetamol"
respiratory infection,stomach acid,sore throat,"Azithromycin, Aciloc"
fungal infection,headache,,"Cetirizine, Paracetamol"
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
sneezing,,,Cetirizine
pain,,,Diclofenac
inflammation,,,Diclofenac
pain,diarrhea,,"Lomotil, Diclofenac"
cough,fever,,"Azithromycin, Paracetamol"
fungal infection,muscle pain,,"Cetirizine, Paracetamol"
heartburn,bacterial infection,joint pain,"Azithromycin, Aciloc, Diclofenac"
fever,,,Paracetamol
cough,skin rash,stomach acid,"Cetirizine, Azithromycin, Aciloc"
sore throat,diarrhea,stomach acid,"Azithromycin, Lomotil, Aciloc"
muscle pain,,,Paracetamol
muscle pain,,,Paracetamol
skin rash,,,Cetirizine
fungal infection,respiratory infection,,"Cetirizine, Azithromycin"
sore throat,heartburn,runny nose,"Cetirizine, Azithromycin, Aciloc"
pain,,,Diclofenac
sneezing,fungal infection,,Cetirizine
stomach cramps,,,Lomotil
sore throat,itchy eyes,inflammation,"Cetirizine, Azithromycin, Diclofenac"
heartburn,,,Aciloc
muscle pain,headache,nausea,"Aciloc, Paracetamol"
muscle pain,headache,,Paracetamol
stomach cramps,,,Lomotil
muscle pain,joint pain,fever,"Paracetamol, Diclofenac"
stomach acid,,,Aciloc
stomach cramps,sneezing,,"Cetirizine, Lomotil"
itchy eyes,joint pain,sneezing,"Cetirizine, Diclofenac"
sneezing,skin rash,,Cetirizine
joint pain,fungal infection,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
itchy eyes,cough,,"Cetirizine, Azithromycin"
diarrhea,stomach acid,fungal infection,"Cetirizine, Aciloc, Lomotil"
diarrhea,,,Lomotil
diarrhea,runny nose,stomach acid,"Cetirizine, Aciloc, Lomotil"
runny nose,sore throat,fever,"Cetirizine, Azithromycin, Paracetamol"
heartburn,pain,itchy eyes,"Cetirizine, Aciloc, Diclofenac"
muscle pain,,,Paracetamol
sneezing,fungal infection,fever,"Cetirizine, Paracetamol"
fungal infection,fever,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
respiratory infection,,,Azithromycin
stomach cramps,,,Lomotil
sneezing,,,Cetirizine
stomach cramps,respiratory infection,,"Azithromycin, Lomotil"
nausea,,,Aciloc
pain,,,Diclofenac
muscle pain,,,Paracetamol
diarrhea,joint pain,heartburn,"Aciloc, Lomotil, Diclofenac"
runny nose,bacterial infection,fungal infection,"Cetirizine, Azithromycin"
inflammation,fungal infection,stomach acid,"Cetirizine, Aciloc, Diclofenac"
nausea,runny nose,heartburn,"Cetirizine, Aciloc"
itchy eyes,,,Cetirizine
stomach cramps,headache,sore throat,"Azithromycin, Lomotil, Paracetamol"
joint pain,,,Diclofenac
diarrhea,nausea,,"Aciloc, Lomotil"
joint pain,diarrhea,,"Lomotil, Diclofenac"
cough,bacterial infection,,Azithromycin
inflammation,heartburn,,"Aciloc, Diclofenac"
joint pain,fungal infection,,"Cetirizine, Diclofenac"
skin rash,muscle pain,joint pain,"Cetirizine, Paracetamol, Diclofenac"
cough,,,Azithromycin
skin rash,stomach cramps,,"Cetirizine, Lomotil"
stomach cramps,inflammation,,"Lomotil, Diclofenac"
headache,inflammation,nausea,"Aciloc, Paracetamol, Diclofenac"
skin rash,,,Cetirizine
runny nose,inflammation,fungal infection,"Cetirizine, Diclofenac"
stomach cramps,bacterial infection,stomach acid,"Azithromycin, Lomotil, Aciloc"
bacterial infection,,,Azithromycin
skin rash,nausea,,"Cetirizine, Aciloc"
sneezing,pain,,"Cetirizine, Diclofenac"
itchy eyes,fungal infection,,Cetirizine
heartburn,cough,,"Azithromycin, Aciloc"
fungal infection,,,Cetirizine
respiratory infection,inflammation,,"Azithromycin, Diclofenac"
fungal infection,respiratory infection,pain,"Cetirizine, Azithromycin, Diclofenac"
stomach cramps,fungal infection,skin rash,"Cetirizine, Lomotil"
nausea,heartburn,,Aciloc
respiratory infection,bacterial infection,headache,"Azithromycin, Paracetamol"
muscle pain,bacterial infection,,"Azithromycin, Paracetamol"
fungal infection,,,Cetirizine
respiratory infection,,,Azithromycin
joint pain,headache,,"Paracetamol, Diclofenac"
joint pain,skin rash,fever,"Cetirizine, Paracetamol, Diclofenac"
runny nose,stomach cramps,cough,"Cetirizine, Azithromycin, Lomotil"
bacterial infection,,,Azithromycin
sneezing,fever,,"Cetirizine, Paracetamol"
stomach acid,nausea,fever,"Aciloc, Paracetamol"
nausea,,,Aciloc
sore throat,heartburn,fungal infection,"Cetirizine, Azithromycin, Aciloc"
sneezing,,,Cetirizine
joint pain,bacterial infection,,"Azithromycin, Diclofenac"
stomach cramps,sore throat,,"Azithromycin, Lomotil"
muscle pain,headache,,Paracetamol
nausea,fungal infection,inflammation,"Cetirizine, Aciloc, Diclofenac"
skin rash,diarrhea,pain,"Cetirizine, Lomotil, Diclofenac"
cough,headache,,"Azithromycin, Paracetamol"
skin rash,muscle pain,,"Cetirizine, Paracetamol"
muscle pain,,,Paracetamol
heartburn,stomach cramps,,"Aciloc, Lomotil"
heartburn,runny nose,,"Cetirizine, Aciloc"
pain,bacterial infection,,"Azithromycin, Diclofenac"
headache,fever,diarrhea,"Lomotil, Paracetamol"
stomach cramps,,,Lomotil
skin rash,,,Cetirizine
sore throat,diarrhea,stomach acid,"Azithromycin, Lomotil, Aciloc"
fever,inflammation,headache,"Paracetamol, Diclofenac"
joint pain,sore throat,stomach acid,"Azithromycin, Aciloc, Diclofenac"
cough,bacterial infection,,Azithromycin
heartburn,stomach cramps,fever,"Aciloc, Lomotil, Paracetamol"
heartburn,sore throat,muscle pain,"Azithromycin, Aciloc, Paracetamol"
cough,diarrhea,sneezing,"Cetirizine, Azithromycin, Lomotil"
fever,nausea,inflammation,"Aciloc, Paracetamol, Diclofenac"
diarrhea,,,Lomotil
stomach cramps,,,Lomotil
sore throat,,,Azithromycin
nausea,,,Aciloc
stomach cramps,muscle pain,,"Lomotil, Paracetamol"
stomach acid,itchy eyes,nausea,"Cetirizine, Aciloc"
sore throat,diarrhea,,"Azithromycin, Lomotil"
itchy eyes,,,Cetirizine
cough,nausea,,"Azithromycin, Aciloc"
cough,nausea,diarrhea,"Azithromycin, Lomotil, Aciloc"
sneezing,joint pain,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,,,Cetirizine
headache,sneezing,runny nose,"Cetirizine, Paracetamol"
heartburn,bacterial infection,,"Azithromycin, Aciloc"
sneezing,cough,fungal infection,"Cetirizine, Azithromycin"
diarrhea,,,Lomotil
fungal infection,,,Cetirizine
pain,stomach acid,,"Aciloc, Diclofenac"
inflammation,bacterial infection,,"Azithromycin, Diclofenac"
sneezing,,,Cetirizine
fungal infection,stomach acid,,"Cetirizine, Aciloc"
cough,,,Azithromycin
respiratory infection,,,Azithromycin
inflammation,,,Diclofenac
heartburn,cough,,"Azithromycin, Aciloc"
cough,,,Azithromycin
sore throat,muscle pain,,"Azithromycin, Paracetamol"
fever,,,Paracetamol
sneezing,inflammation,muscle pain,"Cetirizine, Paracetamol, Diclofenac"
cough,,,Azithromycin
heartburn,,,Aciloc
diarrhea,,,Lomotil
skin rash,pain,,"Cetirizine, Diclofenac"
skin rash,sneezing,itchy eyes,Cetirizine
fever,,,Paracetamol
respiratory infection,diarrhea,,"Azithromycin, Lomotil"
sore throat,,,Azithromycin
bacterial infection,muscle pain,,"Azithromycin, Paracetamol"
itchy eyes,,,Cetirizine
fever,sneezing,,"Cetirizine, Paracetamol"
fungal infection,stomach cramps,,"Cetirizine, Lomotil"
stomach cramps,,,Lomotil
itchy eyes,stomach acid,stomach cramps,"Cetirizine, Aciloc, Lomotil"
respiratory infection,cough,,Azithromycin
muscle pain,inflammation,,"Paracetamol, Diclofenac"
fungal infection,,,Cetirizine
sore throat,skin rash,,"Cetirizine, Azithromycin"
bacterial infection,headache,,"Azithromycin, Paracetamol"
diarrhea,fever,,"Lomotil, Paracetamol"
stomach cramps,sore throat,nausea,"Azithromycin, Lomotil, Aciloc"
cough,,,Azithromycin
diarrhea,,,Lomotil
stomach acid,fungal infection,,"Cetirizine, Aciloc"
stomach acid,skin rash,,"Cetirizine, Aciloc"
sneezing,stomach cramps,skin rash,"Cetirizine, Lomotil"
fungal infection,diarrhea,,"Cetirizine, Lomotil"
fungal infection,,,Cetirizine
headache,itchy eyes,muscle pain,"Cetirizine, Paracetamol"
heartburn,runny nose,sore throat,"Cetirizine, Aciloc, Azithromycin"
sneezing,heartburn,stomach cramps,"Cetirizine, Aciloc, Lomotil"
inflammation,,,Diclofenac
muscle pain,fungal infection,,"Cetirizine, Paracetamol"
heartburn,nausea,,Aciloc
sore throat,sneezing,pain,"Cetirizine, Azithromycin, Diclofenac"
itchy eyes,bacterial infection,inflammation,"Cetirizine, Azithromycin, Diclofenac"
runny nose,sore throat,,"Cetirizine, Azithromycin"
fever,heartburn,muscle pain,"Aciloc, Paracetamol"
fungal infection,fever,,"Cetirizine, Paracetamol"
respiratory infection,stomach cramps,,"Azithromycin, Lomotil"
headache,skin rash,,"Cetirizine, Paracetamol"
stomach cramps,itchy eyes,,"Cetirizine, Lomotil"
sore throat,,,Azithromycin
heartburn,nausea,,Aciloc
sore throat,nausea,cough,"Azithromycin, Aciloc"
itchy eyes,headache,,"Cetirizine, Paracetamol"
runny nose,inflammation,diarrhea,"Cetirizine, Lomotil, Diclofenac"
cough,diarrhea,,"Azithromycin, Lomotil"
runny nose,bacterial infection,,"Cetirizine, Azithromycin"
itchy eyes,fungal infection,,Cetirizine
sneezing,,,Cetirizine
diarrhea,sneezing,,"Cetirizine, Lomotil"
bacterial infection,heartburn,sneezing,"Cetirizine, Azithromycin, Aciloc"
heartburn,,,Aciloc
runny nose,,,Cetirizine
skin rash,fungal infection,pain,"Cetirizine, Diclofenac"
fungal infection,bacterial infection,heartburn,"Cetirizine, Azithromycin, Aciloc"
headache,diarrhea,pain,"Lomotil, Paracetamol, Diclofenac"
headache,skin rash,cough,"Cetirizine, Azithromycin, Paracetamol"
stomach acid,inflammation,,"Aciloc, Diclofenac"
heartburn,,,Aciloc
joint pain,headache,,"Paracetamol, Diclofenac"
stomach acid,,,Aciloc
heartburn,skin rash,stomach cramps,"Cetirizine, Aciloc, Lomotil"
cough,inflammation,,"Azithromycin, Diclofenac"
bacterial infection,sore throat,,Azithromycin
sore throat,,,Azithromycin
heartburn,stomach cramps,,"Aciloc, Lomotil"
pain,,,Diclofenac
runny nose,pain,cough,"Cetirizine, Azithromycin, Diclofenac"
diarrhea,sneezing,,"Cetirizine, Lomotil"
muscle pain,diarrhea,,"Lomotil, Paracetamol"
inflammation,,,Diclofenac
respiratory infection,joint pain,,"Azithromycin, Diclofenac"
diarrhea,,,Lomotil
runny nose,,,Cetirizine
respiratory infection,diarrhea,headache,"Azithromycin, Lomotil, Paracetamol"
sore throat,,,Azithromycin
nausea,,,Aciloc
cough,heartburn,,"Azithromycin, Aciloc"
fever,,,Paracetamol
fever,stomach acid,,"Aciloc, Paracetamol"
pain,runny nose,heartburn,"Cetirizine, Aciloc, Diclofenac"
stomach cramps,,,Lomotil
skin rash,,,Cetirizine
nausea,pain,inflammation,"Aciloc, Diclofenac"
diarrhea,cough,stomach cramps,"Azithromycin, Lomotil"
skin rash,sore throat,,"Cetirizine, Azithromycin"
cough,,,Azithromycin
stomach acid,skin rash,fungal infection,"Cetirizine, Aciloc"
respiratory infection,headache,,"Azithromycin, Paracetamol"
sore throat,,,Azithromycin
pain,sore throat,,"Azithromycin, Diclofenac"
sneezing,,,Cetirizine
nausea,,,Aciloc
sneezing,respiratory infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
inflammation,bacterial infection,diarrhea,"Azithromycin, Lomotil, Diclofenac"
cough,headache,diarrhea,"Azithromycin, Lomotil, Paracetamol"
stomach cramps,,,Lomotil
pain,,,Diclofenac
joint pain,sore throat,,"Azithromycin, Diclofenac"
pain,headache,fever,"Paracetamol, Diclofenac"
nausea,,,Aciloc
stomach cramps,fungal infection,skin rash,"Cetirizine, Lomotil"
inflammation,,,Diclofenac
cough,diarrhea,,"Azithromycin, Lomotil"
joint pain,,,Diclofenac
diarrhea,bacterial infection,skin rash,"Cetirizine, Azithromycin, Lomotil"
fungal infection,itchy eyes,inflammation,"Cetirizine, Diclofenac"
sore throat,runny nose,itchy eyes,"Cetirizine, Azithromycin"
sore throat,,,Azithromycin
runny nose,,,Cetirizine
muscle pain,inflammation,,"Paracetamol, Diclofenac"
bacterial infection,stomach acid,headache,"Azithromycin, Aciloc, Paracetamol"
fever,,,Paracetamol
diarrhea,pain,heartburn,"Aciloc, Lomotil, Diclofenac"
muscle pain,heartburn,,"Aciloc, Paracetamol"
pain,sneezing,itchy eyes,"Cetirizine, Diclofenac"
pain,muscle pain,joint pain,"Paracetamol, Diclofenac"
skin rash,heartburn,,"Cetirizine, Aciloc"
cough,stomach acid,,"Azithromycin, Aciloc"
fungal infection,muscle pain,,"Cetirizine, Paracetamol"
stomach cramps,,,Lomotil
heartburn,respiratory infection,,"Azithromycin, Aciloc"
itchy eyes,,,Cetirizine
diarrhea,fungal infection,,"Cetirizine, Lomotil"
inflammation,,,Diclofenac
diarrhea,stomach acid,,"Aciloc, Lomotil"
fungal infection,,,Cetirizine
bacterial infection,muscle pain,,"Azithromycin, Paracetamol"
fungal infection,diarrhea,headache,"Cetirizine, Lomotil, Paracetamol"
itchy eyes,stomach cramps,,"Cetirizine, Lomotil"
bacterial infection,cough,,Azithromycin
headache,,,Paracetamol
heartburn,,,Aciloc
cough,,,Azithromycin
heartburn,fungal infection,respiratory infection,"Cetirizine, Aciloc, Azithromycin"
cough,fever,,"Azithromycin, Paracetamol"
joint pain,inflammation,stomach cramps,"Lomotil, Diclofenac"
sore throat,skin rash,joint pain,"Cetirizine, Azithromycin, Diclofenac"
fungal infection,stomach acid,,"Cetirizine, Aciloc"
skin rash,,,Cetirizine
respiratory infection,sore throat,joint pain,"Azithromycin, Diclofenac"
nausea,respiratory infection,,"Azithromycin, Aciloc"
itchy eyes,muscle pain,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
fungal infection,,,Cetirizine
skin rash,,,Cetirizine
sore throat,,,Azithromycin
itchy eyes,sneezing,,Cetirizine
fungal infection,joint pain,stomach acid,"Cetirizine, Aciloc, Diclofenac"
nausea,runny nose,,"Cetirizine, Aciloc"
fever,cough,heartburn,"Azithromycin, Paracetamol, Aciloc"
fungal infection,skin rash,respiratory infection,"Cetirizine, Azithromycin"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
stomach cramps,stomach acid,inflammation,"Aciloc, Lomotil, Diclofenac"
sore throat,,,Azithromycin
respiratory infection,,,Azithromycin
diarrhea,,,Lomotil
bacterial infection,,,Azithromycin
headache,stomach acid,sneezing,"Cetirizine, Aciloc, Paracetamol"
fever,,,Paracetamol
respiratory infection,,,Azithromycin
inflammation,muscle pain,skin rash,"Cetirizine, Paracetamol, Diclofenac"
heartburn,,,Aciloc
nausea,,,Aciloc
pain,,,Diclofenac
stomach cramps,inflammation,,"Lomotil, Diclofenac"
stomach cramps,sneezing,,"Cetirizine, Lomotil"
sneezing,inflammation,,"Cetirizine, Diclofenac"
heartburn,itchy eyes,,"Cetirizine, Aciloc"
muscle pain,inflammation,runny nose,"Cetirizine, Paracetamol, Diclofenac"
heartburn,headache,,"Aciloc, Paracetamol"
stomach cramps,fever,,"Lomotil, Paracetamol"
bacterial infection,,,Azithromycin
fever,,,Paracetamol
respiratory infection,bacterial infection,sore throat,Azithromycin
joint pain,stomach cramps,,"Lomotil, Diclofenac"
muscle pain,fungal infection,skin rash,"Cetirizine, Paracetamol"
fungal infection,,,Cetirizine
joint pain,runny nose,,"Cetirizine, Diclofenac"
muscle pain,,,Paracetamol
joint pain,fever,,"Paracetamol, Diclofenac"
fungal infection,itchy eyes,muscle pain,"Cetirizine, Paracetamol"
muscle pain,sneezing,,"Cetirizine, Paracetamol"
nausea,,,Aciloc
fungal infection,cough,skin rash,"Cetirizine, Azithromycin"
bacterial infection,,,Azithromycin
stomach cramps,joint pain,,"Lomotil, Diclofenac"
fever,stomach acid,,"Aciloc, Paracetamol"
fungal infection,inflammation,,"Cetirizine, Diclofenac"
skin rash,pain,,"Cetirizine, Diclofenac"
pain,,,Diclofenac
stomach acid,sore throat,diarrhea,"Azithromycin, Aciloc, Lomotil"
runny nose,,,Cetirizine
joint pain,stomach acid,,"Aciloc, Diclofenac"
sneezing,diarrhea,,"Cetirizine, Lomotil"
fungal infection,heartburn,diarrhea,"Cetirizine, Aciloc, Lomotil"
stomach cramps,,,Lomotil
bacterial infection,pain,,"Azithromycin, Diclofenac"
sneezing,respiratory infection,,"Cetirizine, Azithromycin"
itchy eyes,bacterial infection,,"Cetirizine, Azithromycin"
itchy eyes,,,Cetirizine
bacterial infection,sore throat,,Azithromycin
sneezing,cough,,"Cetirizine, Azithromycin"
heartburn,,,Aciloc
diarrhea,,,Lomotil
sore throat,skin rash,,"Cetirizine, Azithromycin"
fungal infection,,,Cetirizine
sore throat,skin rash,fever,"Cetirizine, Azithromycin, Paracetamol"
fever,skin rash,,"Cetirizine, Paracetamol"
bacterial infection,,,Azithromycin
diarrhea,,,Lomotil
pain,diarrhea,,"Lomotil, Diclofenac"
inflammation,,,Diclofenac
cough,pain,,"Azithromycin, Diclofenac"
respiratory infection,,,Azithromycin
itchy eyes,,,Cetirizine
nausea,diarrhea,,"Aciloc, Lomotil"
muscle pain,nausea,inflammation,"Aciloc, Paracetamol, Diclofenac"
itchy eyes,,,Cetirizine
heartburn,,,Aciloc
pain,,,Diclofenac
sore throat,skin rash,,"Cetirizine, Azithromycin"
fungal infection,,,Cetirizine
bacterial infection,stomach cramps,fever,"Azithromycin, Lomotil, Paracetamol"
stomach acid,stomach cramps,,"Aciloc, Lomotil"
sore throat,fever,,"Azithromycin, Paracetamol"
headache,skin rash,,"Cetirizine, Paracetamol"
heartburn,,,Aciloc
respiratory infection,pain,itchy eyes,"Cetirizine, Azithromycin, Diclofenac"
diarrhea,fungal infection,nausea,"Cetirizine, Aciloc, Lomotil"
joint pain,stomach cramps,,"Lomotil, Diclofenac"
diarrhea,sore throat,,"Azithromycin, Lomotil"
joint pain,cough,headache,"Azithromycin, Paracetamol, Diclofenac"
cough,muscle pain,fungal infection,"Cetirizine, Azithromycin, Paracetamol"
headache,joint pain,,"Paracetamol, Diclofenac"
headache,sore throat,,"Azithromycin, Paracetamol"
cough,bacterial infection,,Azithromycin
fever,sneezing,,"Cetirizine, Paracetamol"
